id,model,maxae,horizon,context,eta,dataset
5,XGBoost,181.91213989257812,2,12,10,.
4,NHITS,0.0,2,12,10,.
10,NHITS,148.0,2,12,10,.
3,NHITS,150.36032104492188,2,12,10,.
9,NHITS,169.059326171875,2,12,10,.
8,NHITS,174.55420875549316,2,12,10,.
2,NHITS,122.0,2,12,10,.
6,NHITS,0.0,2,12,10,.
11,NHITS,131.0,2,12,10,.
1,NHITS,121.0,2,12,10,.
5,NHITS,166.79126739501953,2,12,10,.
4,Autoformer,0.0,2,12,10,.
10,Autoformer,,2,12,10,.
3,Autoformer,,2,12,10,.
9,Autoformer,,2,12,10,.
8,Autoformer,,2,12,10,.
2,Autoformer,,2,12,10,.
6,Autoformer,0.0,2,12,10,.
11,Autoformer,,2,12,10,.
1,Autoformer,,2,12,10,.
5,Autoformer,,2,12,10,.
4,ETS,0.0,2,12,10,.
10,ETS,218.79184524513548,2,12,10,.
3,ETS,397.31693143878306,2,12,10,.
9,ETS,240.9616797000039,2,12,10,.
8,ETS,285.57800281733046,2,12,10,.
2,ETS,266.8611478917392,2,12,10,.
6,ETS,0.0,2,12,10,.
11,ETS,273.592547839496,2,12,10,.
1,ETS,121.0,2,12,10,.
5,ETS,317.31092552434677,2,12,10,.
4,HBML (c),0.0,2,12,10,.
10,HBML (c),218.79184524513548,2,12,10,.
3,HBML (c),345.31837587678206,2,12,10,.
9,HBML (c),240.9616797000039,2,12,10,.
8,HBML (c),269.3193188793495,2,12,10,.
2,HBML (c),254.0468318993664,2,12,10,.
6,HBML (c),0.0,2,12,10,.
11,HBML (c),131.0,2,12,10,.
1,HBML (c),121.0,2,12,10,.
5,HBML (c),317.78807495989804,2,12,10,.
4,HBML (d),0.0,2,12,10,.
10,HBML (d),148.0,2,12,10,.
3,HBML (d),532.0,2,12,10,.
9,HBML (d),186.2847545946304,2,12,10,.
8,HBML (d),479.3334778331142,2,12,10,.
2,HBML (d),247.0314156637262,2,12,10,.
6,HBML (d),0.0,2,12,10,.
11,HBML (d),170.80121187237046,2,12,10,.
1,HBML (d),121.0,2,12,10,.
5,HBML (d),544.1622499069726,2,12,10,.
4,HBML (fd),0.0,2,12,10,.
10,HBML (fd),176.0242307283072,2,12,10,.
3,HBML (fd),405.0,2,12,10,.
9,HBML (fd),237.20184105573844,2,12,10,.
8,HBML (fd),479.3334778331142,2,12,10,.
2,HBML (fd),234.78160795435508,2,12,10,.
6,HBML (fd),0.0,2,12,10,.
11,HBML (fd),273.592547839496,2,12,10,.
1,HBML (fd),121.0,2,12,10,.
5,HBML (fd),396.9937876881252,2,12,10,.
4,HBML-SFH,0.0,2,12,10,.
10,HBML-SFH,148.0,2,12,10,.
3,HBML-SFH,271.58450233748994,2,12,10,.
9,HBML-SFH,147.7214148805535,2,12,10,.
8,HBML-SFH,192.36775057693407,2,12,10,.
2,HBML-SFH,173.1718466329042,2,12,10,.
6,HBML-SFH,0.0,2,12,10,.
11,HBML-SFH,229.70801155609897,2,12,10,.
1,HBML-SFH,121.0,2,12,10,.
5,HBML-SFH,264.42924634009916,2,12,10,.
4,HBML-SFHDF,0.0,2,12,10,.
10,HBML-SFHDF,148.0,2,12,10,.
3,HBML-SFHDF,182.72453821682257,2,12,10,.
9,HBML-SFHDF,165.34388739860805,2,12,10,.
8,HBML-SFHDF,262.8025559564709,2,12,10,.
