id,model,rmse,horizon,context,eta,dataset
2,HBML (fd),56.57371951088955,5,6,10,.
6,HBML (fd),38.81344791823452,5,6,10,.
11,HBML (fd),44.11553249678797,5,6,10,.
1,HBML (fd),21.496061969966828,5,6,10,.
5,HBML (fd),75.42988961304589,5,6,10,.
4,HBML-SFH,25.94556539013526,5,6,10,.
10,HBML-SFH,28.038891605925087,5,6,10,.
3,HBML-SFH,34.74539435815066,5,6,10,.
9,HBML-SFH,28.6501944366342,5,6,10,.
8,HBML-SFH,32.81127937309008,5,6,10,.
2,HBML-SFH,28.743331287812317,5,6,10,.
6,HBML-SFH,22.386346838499662,5,6,10,.
11,HBML-SFH,28.874468539752527,5,6,10,.
1,HBML-SFH,21.276602744754133,5,6,10,.
5,HBML-SFH,39.56773621203523,5,6,10,.
4,HBML-SFHDF,22.210871674128228,5,6,10,.
10,HBML-SFHDF,26.07770344462037,5,6,10,.
3,HBML-SFHDF,28.329353755577436,5,6,10,.
9,HBML-SFHDF,26.993992426836844,5,6,10,.
8,HBML-SFHDF,28.484112369134905,5,6,10,.
2,HBML-SFHDF,26.24973217439256,5,6,10,.
6,HBML-SFHDF,18.64897511966167,5,6,10,.
11,HBML-SFHDF,25.445196172288995,5,6,10,.
1,HBML-SFHDF,20.882990126003783,5,6,10,.
5,HBML-SFHDF,35.19148867918285,5,6,10,.
4,NODE,0.0,2,12,10,.
10,NODE,24.156871666898425,2,12,10,.
3,NODE,23.337718166415954,2,12,10,.
9,NODE,23.529611200560524,2,12,10,.
8,NODE,21.777784162486448,2,12,10,.
2,NODE,23.593049793895183,2,12,10,.
6,NODE,0.0,2,12,10,.
11,NODE,23.577491038132177,2,12,10,.
1,NODE,23.11286637944675,2,12,10,.
5,NODE,28.59439256897745,2,12,10,.
4,ARIMA,0.0,2,12,10,.
10,ARIMA,15.897144191316626,2,12,10,.
3,ARIMA,47.1161922449151,2,12,10,.
9,ARIMA,21.009979130761327,2,12,10,.
8,ARIMA,28.000193176906112,2,12,10,.
2,ARIMA,27.08280234641109,2,12,10,.
6,ARIMA,0.0,2,12,10,.
11,ARIMA,19.164911620915696,2,12,10,.
1,ARIMA,12.011352554689452,2,12,10,.
5,ARIMA,39.15766603148298,2,12,10,.
4,XGBoost,0.0,2,12,10,.
10,XGBoost,29.66034786642541,2,12,10,.
3,XGBoost,34.6303291734786,2,12,10,.
9,XGBoost,35.231394091968866,2,12,10,.
8,XGBoost,38.53182414985639,2,12,10,.
2,XGBoost,39.93038180200595,2,12,10,.
6,XGBoost,0.0,2,12,10,.
11,XGBoost,28.59529522510649,2,12,10,.
1,XGBoost,17.76521043210393,2,12,10,.
5,XGBoost,45.088491277437555,2,12,10,.
4,NHITS,0.0,2,12,10,.
10,NHITS,20.476340540249375,2,12,10,.
3,NHITS,30.616274042323894,2,12,10,.
9,NHITS,26.37046328422308,2,12,10,.
8,NHITS,35.3006793437691,2,12,10,.
2,NHITS,28.09640087956319,2,12,10,.
6,NHITS,0.0,2,12,10,.
11,NHITS,21.7700269869824,2,12,10,.
1,NHITS,14.227934434018149,2,12,10,.
5,NHITS,36.67480749178264,2,12,10,.
4,Autoformer,0.0,2,12,10,.
10,Autoformer,,2,12,10,.
3,Autoformer,,2,12,10,.
9,Autoformer,,2,12,10,.
8,Autoformer,,2,12,10,.
2,Autoformer,,2,12,10,.
6,Autoformer,0.0,2,12,10,.
11,Autoformer,,2,12,10,.
1,Autoformer,,2,12,10,.
5,Autoformer,,2,12,10,.
4,ETS,0.0,2,12,10,.
10,ETS,15.636046000785914,2,12,10,.
3,ETS,33.103635336300435,2,12,10,.
9,ETS,22.342556901147336,2,12,10,.
8,ETS,23.852004912265564,2,12,10,.
2,ETS,31.130287148892982,2,12,10,.
6,ETS,0.0,2,12,10,.
11,ETS,17.371307110983945,2,12,10,.
1,ETS,11.00239495652955,2,12,10,.
5,ETS,38.97217712164742,2,12,10,.
4,HBML (c),0.0,2,12,10,.
10,HBML (c),21.248900649806924,2,12,10,.
3,HBML (c),30.34207705342829,2,12,10,.
9,HBML (c),25.91185115385961,2,12,10,.
8,HBML (c),28.55487953334589,2,12,10,.
2,HBML (c),30.689162820638906,2,12,10,.
6,HBML (c),0.0,2,12,10,.
11,HBML (c),20.583806474641936,2,12,10,.
1,HBML (c),15.934090603115404,2,12,10,.
5,HBML (c),36.252262653708,2,12,10,.
4,HBML (d),0.0,2,12,10,.
10,HBML (d),19.556295888475276,2,12,10,.
3,HBML (d),30.691248317121115,2,12,10,.
9,HBML (d),22.981612509162908,2,12,10,.
